-10,-10,-10,-10,5.1,0.1
-5,-10,-10,-10,5.1,0.1
0,-10,-10,-10,5.1,0.1
5,-10,-10,-10,5.1,0.1
10,-10,-10,-10,5.1,0.1
-10,-5,-10,-10,5.1,0.1
-5,-5,-10,-10,5.1,0.1
0,-5,-10,-10,5.1,0.1
5,-5,-10,-10,5.1,0.1
10,-5,-10,-10,5.1,0.1
-10,0,-10,-10,5.1,0.1
-5,0,-10,-10,5.1,0.1
0,0,-10,-10,5.1,0.1
5,0,-10,-10,5.1,0.1
10,0,-10,-10,5.1,0.1
-10,5,-10,-10,5.1,0.1
-5,5,-10,-10,5.1,0.1
0,5,-10,-10,5.1,0.1
5,5,-10,-10,5.1,0.1
10,5,-10,-10,5.1,0.1
-10,10,-10,-10,5.1,0.1
-5,10,-10,-10,5.1,0.1
0,10,-10,-10,5.1,0.1
5,10,-10,-10,5.1,0.1
10,10,-10,-10,5.1,0.1
-10,-10,-5,-10,5.1,0.1
-5,-10,-5,-10,5.1,0.1
0,-10,-5,-10,5.1,0.1
5,-10,-5,-10,5.1,0.1
10,-10,-5,-10,5.1,0.1
-10,-5,-5,-10,5.1,0.1
-5,-5,-5,-10,5.1,0.1
0,-5,-5,-10,5.1,0.1
5,-5,-5,-10,5.1,0.1
10,-5,-5,-10,5.1,0.1
-10,0,-5,-10,5.1,0.1
-5,0,-5,-10,5.1,0.1
0,0,-5,-10,5.1,0.1
5,0,-5,-10,5.1,0.1
10,0,-5,-10,5.1,0.1
-10,5,-5,-10,5.1,0.1
-5,5,-5,-10,5.1,0.1
0,5,-5,-10,5.1,0.1
5,5,-5,-10,5.1,0.1
10,5,-5,-10,5.1,0.1
-10,10,-5,-10,5.1,0.1
-5,10,-5,-10,5.1,0.1
0,10,-5,-10,5.1,0.1
5,10,-5,-10,5.1,0.1
10,10,-5,-10,5.1,0.1
-10,-10,0,-10,5.1,0.1
-5,-10,0,-10,5.1,0.1
0,-10,0,-10,5.1,0.1
5,-10,0,-10,5.1,0.1
10,-10,0,-10,5.1,0.1
-10,-5,0,-10,5.1,0.1
-5,-5,0,-10,5.1,0.1
0,-5,0,-10,5.1,0.1
5,-5,0,-10,5.1,0.1
10,-5,0,-10,5.1,0.1
-10,0,0,-10,5.1,0.1
-5,0,0,-10,5.1,0.1
0,0,0,-10,5.1,0.1
5,0,0,-10,5.1,0.1
10,0,0,-10,5.1,0.1
-10,5,0,-10,5.1,0.1
-5,5,0,-10,5.1,0.1
0,5,0,-10,5.1,0.1
5,5,0,-10,5.1,0.1
10,5,0,-10,5.1,0.1
-10,10,0,-10,5.1,0.1
-5,10,0,-10,5.1,0.1
0,10,0,-10,5.1,0.1
