xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
3.097457076,1.80518453,0.572229815,-1.33E-11,6.330053503,3.87575654,0.574808206,0.109191924
3.144179207,1.835279141,0.572229815,8.55E-12,6.353279184,3.890803187,0.574909684,-0.101858018
3.190901337,1.865373752,0.572229815,-5.52E-12,6.376504814,3.905849912,0.574814989,0.095014364
3.237623467,1.895468362,0.572229815,3.56E-12,6.399730492,3.920896564,0.574903349,-0.088628548
3.284345597,1.925562973,0.572229815,-2.30E-12,6.422956126,3.935943285,0.574820904,0.082670244
3.331067728,1.955657583,0.572229815,1.48E-12,6.446181801,3.950989941,0.574897826,-0.077111093
3.377789858,1.985752194,0.572229815,-9.57E-13,6.469407438,3.966036658,0.574826061,0.071924574
3.424511988,2.015846805,0.572229815,6.17E-13,6.49263311,3.981083318,0.574893013,-0.067085898
3.471234118,2.045941415,0.572229815,-3.96E-13,6.515858749,3.996130031,0.574830553,0.062571891
3.517956249,2.076036026,0.572229815,2.54E-13,6.539084419,4.011176695,0.57488882,-0.058360904
3.564678379,2.106130636,0.572229815,-1.63E-13,6.56231006,4.026223404,0.574834466,0.054432707
3.611400509,2.136225247,0.572229815,1.05E-13,6.585535728,4.041270071,0.574885168,-0.050768405
3.65812264,2.166319858,0.572229815,-6.97E-14,6.608761371,4.056316778,0.574837873,0.047350348
3.70484477,2.196414468,0.572229815,4.41E-14,6.631987038,4.071363447,0.574881989,-0.044162056
3.7515669,2.226509079,0.572229815,-2.16E-14,6.655212682,4.086410151,0.574840839,0.041188141
3.79828903,2.256603689,0.572229815,1.60E-14,6.678438347,4.101456823,0.574879222,-0.038414236
3.845011161,2.2866983,0.572229815,-1.23E-14,6.701663993,4.116503525,0.574843421,0.035826931
3.891733291,2.316792911,0.572229815,8.08E-15,6.724889657,4.131550199,0.574876813,-0.033413706
3.938455421,2.346887521,0.572229815,-5.52E-15,6.748115304,4.146596899,0.574845668,0.031162877
3.985177551,2.376982132,0.572229815,7.57E-15,6.771340966,4.161643575,0.574874717,-0.029063541
4.031899682,2.407076742,0.572229815,-5.54E-15,6.794566614,4.176690273,0.574847624,0.027105522
4.078621812,2.437171353,0.572229815,3.31E-15,6.817792276,4.19173695,0.574872893,-0.025279323
4.125343942,2.467265963,0.572229815,-1.33E-15,6.841017925,4.206783647,0.574849325,0.023576085
4.172066072,2.497360574,0.572229815,-8.96E-16,6.864243586,4.221830326,0.574871306,-0.021987541
4.218788203,2.527455185,0.572229815,1.44E-15,6.887469235,4.236877022,0.574850806,0.020505978
4.265510333,2.557549795,0.572229815,-8.54E-16,6.910694895,4.251923701,0.574869925,-0.019124199
4.312232463,2.587644406,0.572229815,2.18E-15,6.933920546,4.266970396,0.574852093,0.017835491
4.358954594,2.617739016,0.572229815,-4.26E-15,6.957146205,4.282017077,0.574868724,-0.016633592
4.405676724,2.647833627,0.572229815,5.96E-16,6.980371856,4.297063771,0.574853214,0.01551266
4.452398854,2.677928238,0.572229815,9.54E-17,7.003597515,4.312110452,0.574867679,-0.014467243
4.499120984,2.708022848,0.572229815,-1.16E-15,7.026823167,4.327157145,0.574854188,0.013492259
4.545843115,2.738117459,0.572229815,3.58E-15,7.050048825,4.342203827,0.57486677,-0.012582966
4.592565245,2.768212069,0.572229815,-9.04E-16,7.073274477,4.35725052,0.574855036,0.011734939
4.639287375,2.79830668,0.572229815,9.29E-16,7.096500135,4.372297203,0.574865979,-0.010944053
4.686009505,2.828401291,0.572229815,-1.45E-16,7.119725787,4.387343894,0.574855773,0.01020646
4.732731636,2.858495901,0.572229815,2.00E-15,7.142951445,4.402390578,0.574865292,-0.009518571
4.779453766,2.888590512,0.572229815,-7.81E-16,7.166177098,4.417437269,0.574856415,0.008877036
4.826175896,2.918685122,0.572229815,6.40E-16,7.189402755,4.432483953,0.574864693,-0.008278734
4.872898026,2.948779733,0.572229815,-4.98E-16,7.212628408,4.447530643,0.574856973,0.007720752
4.919620157,2.978874344,0.572229815,-1.02E-15,7.235854065,4.462577328,0.574864173,-0.007200374
4.966342287,3.008968954,0.572229815,1.67E-15,7.259079718,4.477624018,0.574857458,0.006715066
5.013064417,3.039063565,0.572229815,-1.17E-16,7.282305375,4.492670703,0.574863721,-0.006262466
