x_final,y_final,x,y,theta,input
-1.33,0.9836,0.839165484,0.463901218,1,1
-1.33,0.9836,0.844484091,0.472369537,1.01,1
-1.33,0.9836,0.849717751,0.480890617,1.02,1
-1.33,0.9836,0.854865939,0.489463607,1.03,1
-1.33,0.9836,0.859928142,0.498087649,1.04,1
-1.33,0.9836,0.864903852,0.506761881,1.05,1
-1.33,0.9836,0.869792573,0.515485436,1.06,1
-1.33,0.9836,0.874593815,0.524257441,1.07,1
-1.33,0.9836,0.879307099,0.533077019,1.08,1
-1.33,0.9836,0.883931953,0.541943288,1.09,1
-1.33,0.9836,0.888467914,0.550855362,1.1,1
-1.33,0.9836,0.892914529,0.559812349,1.11,1
-1.33,0.9836,0.897271354,0.568813353,1.12,1
-1.33,0.9836,0.901537952,0.577857475,1.13,1
-1.33,0.9836,0.905713897,0.58694381,1.14,1
-1.33,0.9836,0.909798771,0.59607145,1.15,1
-1.33,0.9836,0.913792166,0.605239481,1.16,1
-1.33,0.9836,0.917693683,0.614446987,1.17,1
-1.33,0.9836,0.921502931,0.623693047,1.18,1
-1.33,0.9836,0.92521953,0.632976736,1.19,1
-1.33,0.9836,0.928843108,0.642297127,1.2,1
-1.33,0.9836,0.932373302,0.651653287,1.21,1
-1.33,0.9836,0.935809759,0.661044281,1.22,1
-1.33,0.9836,0.939152136,0.670469169,1.23,1
-1.33,0.9836,0.942400099,0.679927009,1.24,1
-1.33,0.9836,0.945553323,0.689416855,1.25,1
-1.33,0.9836,0.948611492,0.698937758,1.26,1
-1.33,0.9836,0.951574301,0.708488767,1.27,1
-1.33,0.9836,0.954441453,0.718068926,1.28,1
-1.33,0.9836,0.957212662,0.727677276,1.29,1
-1.33,0.9836,0.95988765,0.737312858,1.3,1
-1.33,0.9836,0.96246615,0.746974708,1.31,1
-1.33,0.9836,0.964947905,0.756661859,1.32,1
-1.33,0.9836,0.967332665,0.766373342,1.33,1
-1.33,0.9836,0.969620193,0.776108188,1.34,1
-1.33,0.9836,0.97181026,0.785865421,1.35,1
-1.33,0.9836,0.973902647,0.795644067,1.36,1
-1.33,0.9836,0.975897144,0.805443148,1.37,1
-1.33,0.9836,0.977793552,0.815261683,1.38,1
-1.33,0.9836,0.979591682,0.825098691,1.39,1
-1.33,0.9836,0.981291354,0.834953189,1.4,1
-1.33,0.9836,0.982892397,0.84482419,1.41,1
-1.33,0.9836,0.984394651,0.854710707,1.42,1
-1.33,0.9836,0.985797967,0.864611753,1.43,1
-1.33,0.9836,0.987102205,0.874526337,1.44,1
-1.33,0.9836,0.988307232,0.884453466,1.45,1
-1.33,0.9836,0.98941293,0.89439215,1.46,1
-1.33,0.9836,0.990419187,0.904341394,1.47,1
-1.33,0.9836,0.991325904,0.914300202,1.48,1
-1.33,0.9836,0.992132988,0.92426758,1.49,1
-1.33,0.9836,0.99284036,0.934242529,1.5,1
-1.33,0.9836,0.993447949,0.944224054,1.51,1
-1.33,0.9836,0.993955694,0.954211156,1.52,1
-1.33,0.9836,0.994363544,0.964202835,1.53,1
-1.33,0.9836,0.994671459,0.974198093,1.54,1
-1.33,0.9836,0.994879407,0.984195931,1.55,1
-1.33,0.9836,0.994987368,0.994195348,1.56,1
-1.33,0.9836,0.994995331,1.004195345,1.57,1
-1.33,0.9836,0.994903296,1.014194921,1.58,1
-1.33,0.9836,0.994711271,1.024193078,1.59,1
-1.33,0.9836,0.994419276,1.034188814,1.6,1
-1.33,0.9836,0.994027339,1.04418113,1.61,1
-1.33,0.9836,0.993535501,1.054169027,1.62,1
-1.33,0.9836,0.99294381,1.064151507,1.63,1
-1.33,0.9836,0.992252326,1.074127571,1.64,1
-1.33,0.9836,0.991461117,1.084096221,1.65,1
-1.33,0.9836,0.990570263,1.094056461,1.66,1
-1.33,0.9836,0.989579852,1.104007295,1.67,1
-1.33,0.9836,0.988489985,1.113947727,1.68,1
-1.33,0.9836,0.987300769,1.123876763,1.69,1
-1.33,0.9836,0.986012324,1.133793411,1.7,1
-1.33,0.9836,0.984624779,1.143696679,1.71,1
-1.33,0.9836,0.983138272,1.153585577,1.72,1
-1.33,0.9836,0.981552952,1.163459115,1.73,1
-1.33,0.9836,0.979868977,1.173316307,1.74,1
-1.33,0.9836,0.978086517,1.183156167,1.75,1
-1.33,0.9836,0.976205748,1.19297771,1.76,1
-1.33,0.9836,0.97422686,1.202779955,1.77,1
-1.33,0.9836,0.97215005,1.212561921,1.78,1
-1.33,0.9836,0.969975526,1.22232263,1.79,1
-1.33,0.9836,0.967703505,1.232061106,1.8,1
-1.33,0.9836,0.965334215,1.241776376,1.81,1
-1.33,0.9836,0.962867891,1.251467467,1.82,1
-1.33,0.9836,0.960304782,1.261133411,1.83,1
-1.33,0.9836,0.957645144,1.270773241,1.84,1
-1.33,0.9836,0.954889241,1.280385993,1.85,1
-1.33,0.9836,0.952037351,1.289970706,1.86,1
-1.33,0.9836,0.949089757,1.299526421,1.87,1
-1.33,0.9836,0.946046755,1.309052183,1.88,1
-1.33,0.9836,0.94290865,1.318547039,1.89,1
-1.33,0.9836,0.939675754,1.32801004,1.9,1
-1.33,0.9836,0.936348392,1.337440239,1.91,1
-1.33,0.9836,0.932926895,1.346836694,1.92,1
-1.33,0.9836,0.929411607,1.356198464,1.93,1
-1.33,0.9836,0.925802878,1.365524615,1.94,1
-1.33,0.9836,0.92210107,1.374814212,1.95,1
-1.33,0.9836,0.918306552,1.384066327,1.96,1
-1.33,0.9836,0.914419704,1.393280035,1.97,1
-1.33,0.9836,0.910440916,1.402454415,1.98,1
-1.33,0.9836,0.906370584,1.411588548,1.99,1
-1.33,0.9836,0.902209115,1.420681522,2,1
-1.33,0.9836,0.897956927,1.429732428,2.01,1
-1.33,0.9836,0.893614443,1.43874036,2.02,1
-1.33,0.9836,0.889182099,1.447704417,2.03,1
-1.33,0.9836,0.884660337,1.456623704,2.04,1
